Address,client_status,noise_verified,yard_playability,yard_noise,layout_fit,photo_review_status,photo_yard_playability,photo_yard_type,photo_flatness,photo_fenced,photo_privacy,photo_notes,bc_assessment_total_value,bc_assessment_land_value,bc_assessment_building_value,review_notes
"84 LAURIE CRESCENT, West Vancouver, British Columbia V7S1B7",New,Unknown,Poor,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,no yard
"547 TEMPE CRESCENT, North Vancouver, British Columbia V7N1E7",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,2189000.0,1827000.0,362000.0,
"560 CRAIGMOHR DRIVE, West Vancouver, British Columbia V7S1W9",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,2135300.0,2052000.0,83300.0,
"744 KILKEEL PLACE, North Vancouver, British Columbia V7N2X1",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,2085000.0,1925000.0,160000.0,
"962 WHITCHURCH STREET, North Vancouver, British Columbia V7L2A6",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,1772000.0,1615000.0,157000.0,
"310 MACBETH CRESCENT, West Vancouver, British Columbia V7T1V7",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,2538000.0,2182000.0,356000.0,
"741 E 14TH STREET, North Vancouver, British Columbia V7L2P3",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,1669400.0,1618000.0,51400.0,
"1119 CLOVERLEY STREET, North Vancouver, British Columbia V7L1N7",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,1435400.0,1390000.0,45400.0,
"1030 MATHERS AVENUE, West Vancouver, British Columbia V7T2G2",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,1800300.0,1726000.0,74300.0,
"510 ST. ANDREWS ROAD, West Vancouver, British Columbia V7S1V2",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,2220800.0,2138000.0,82800.0,
"1285 LUCKING PLACE, North Vancouver, British Columbia V7J3L5",New,Unknown,Unknown,Unknown,Unknown,Not reviewed,Unknown,Unknown,Unknown,Unknown,Unknown,,1920000.0,1657000.0,263000.0,
